county,state,pct_lead,winner,latitude,longitude
nye,nevada,0.4198,Trump,38.8688,-117.9221
o'brien,iowa,0.6017,Trump,43.189,-95.6622
oakland,michigan,0.0812,Clinton,42.8437,-83.1406
obion,tennessee,0.5809,Trump,36.4814,-88.8808
ocean,new jersey,0.34,Trump,40.121,-74.3017
oceana,michigan,0.2734,Trump,43.8237,-86.3868
ochiltree,texas,0.7897,Trump,36.3748,-100.8156
oconee,south carolina,0.4426,Trump,34.897,-83.0375
oconto,wisconsin,0.3699,Trump,45.3163,-88.5032
ogemaw,michigan,0.3656,Trump,44.5014,-83.8686
ogle,illinois,0.2655,Trump,42.1905,-89.5939
oglethorpe,georgia,0.42,Trump,33.9076,-83.1646
ohio,west virginia,0.4578,Trump,40.1698,-80.5958
okaloosa,florida,0.4776,Trump,30.9524,-86.4003
okanogan,washington,0.2008,Trump,48.9397,-119.4032
okeechobee,florida,0.3953,Trump,27.4203,-80.9454
okfuskee,oklahoma,0.4698,Trump,35.5182,-96.5719
oklahoma,oklahoma,0.1051,Trump,35.722,-97.5133
okmulgee,oklahoma,0.3266,Trump,35.7896,-96.0264
oktibbeha,mississippi,0.0111,Clinton,33.4599,-88.8322
oldham,texas,0.3105,Trump,35.5314,-102.2541
olmsted,minnesota,0.0076,Clinton,44.1489,-92.485
oneida,wisconsin,0.3514,Trump,45.9186,-89.6954
onondaga,new york,0.1283,Clinton,43.2252,-76.1351
onslow,north carolina,0.3465,Trump,34.8624,-77.5863
ontario,new york,0.0862,Trump,43.0345,-77.1575
ontonagon,michigan,0.2614,Trump,46.8275,-89.3485
orange,virginia,0.0589,Clinton,38.3446,-77.8719
orangeburg,south carolina,0.3696,Clinton,33.6211,-81.0601
oregon,missouri,0.6009,Trump,36.6929,-91.3971
orleans,vermont,0.2211,Clinton,45.0058,-72.1383
osage,oklahoma,0.5305,Trump,36.7819,-96.6607
osceola,michigan,0.1814,Clinton,44.1072,-85.4901
oscoda,michigan,0.4429,Trump,44.8264,-84.0261
oswego,new york,0.2324,Trump,43.6517,-76.1264
otero,new mexico,0.2528,Trump,33.2164,-105.7743
otoe,nebraska,0.3869,Trump,40.7355,-96.1329
otsego,new york,0.2564,Trump,42.8402,-74.9716
ottawa,oklahoma,0.4147,Trump,36.98,-94.8173
otter tail,minnesota,0.3593,Trump,46.6706,-95.7948
ouachita,arkansas,0.1034,Trump,33.7298,-92.618
ouachita parish,louisiana,0.2543,Trump,32.7119,-92.0981
ouray,colorado,0.1073,Clinton,38.1381,-107.7533
outagamie,wisconsin,0.1415,Trump,44.5668,-88.4582
overton,tennessee,0.5018,Trump,36.497,-85.3197
owen,kentucky,0.5207,Trump,38.6277,-84.8756
owyhee,idaho,0.6278,Trump,43.6138,-116.9472
oxford,maine,0.13,Trump,44.6895,-71.0112
ozark,missouri,0.6476,Trump,36.7895,-92.4091
ozaukee,wisconsin,0.1928,Trump,43.4995,-87.8509
pacific,washington,0.0613,Trump,46.7065,-123.9818
page,virginia,0.4753,Trump,38.7564,-78.3873
palm beach,florida,0.1531,Clinton,26.9831,-80.108
